"aka","year","site","ld","fl","hdCt","source","demo","Ax","Ly","nn1","nn2","nn3","nn4","nn5","nn6","nn7","unit"
"ad82",2015,"spp",1,1,3,"ice.csv; naughtyList","flw",683886.636922453,191952.359093387,6.91475275194344,23.2089979862913,79.2815152058793,123.755321687216,136.04341026615,169.118440590004,171.529482815467,"east"
"ad82",2016,"spp",1,1,3,"autoAssign","flw",683886.636922453,191952.359093387,3.77218101278991,5.36600199221512,6.45276183345718,8.98051652142218,12.091265797678,13.3102657838287,13.9090731730265,"east"
"ad86",2007,"spp",1,1,1,"autoAssign","flw",683371.889207068,191918.949304145,0.25515028117143,1.94760107165774,2.44833442691242,3.75932171051465,4.34503076265492,4.4866131327704,4.85074389007075,"west"
"ad86",2012,"spp",1,1,1,"autoAssign","flw",683371.889207068,191918.949304145,0.25515028117143,1.27403679419549,2.44833442691242,3.75932171051465,4.34503076265492,4.77624863289448,5.6700146631234,"west"
"ad86",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad86",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad87",1996,"spp",1,1,1,"ice.csv; prob duplicate record;tag=975","flw",683539.846029974,191904.683977785,3.19537075724966,4.28610244333539,4.78739696817367,4.83752368629894,4.85774025169161,4.90994036009016,5.18048575050338,"west"
"ad87",2003,"spp",1,1,0,"autoAssign","flw",683539.846029974,191904.683977785,3.1444382576476,3.95414435712516,4.28610244333539,4.7168770473991,4.90994036009016,5.18048575050338,5.95283855547988,"west"
"ad87",2005,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad87",2007,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad87",2016,"spp",0,0,NA,"autoAssign","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ad95",2001,"spp",1,1,1,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683546.128537799,191907.495968513,3.36707047243122,4.65931109503539,5.7302645711825,7.31895510017004,8.06902803334194,10.9728436992487,14.3813149895348,"west"
"ad95",2005,"spp",1,1,1,"ice.csv; naughtyList","flw",683546.128537799,191907.495968513,3.89957286824548,15.6476011957969,45.1515288302284,50.9173629649017,53.8121884567739,56.3702016670348,58.7351456382412,"west"
"ad95",2006,"spp",1,1,2,"ice.csv; spp2006 records","flw",683546.128537799,191907.495968513,10.1541045450344,13.7388717501089,50.9173629649017,53.299030567113,55.1469949331002,56.7628578434275,57.6906220914744,"west"
"ad95",2007,"spp",1,1,2,"ice.csv; naughtyList","flw",683546.128537799,191907.495968513,3.3099935075209,3.36707047243122,3.89957286824548,4.57104644224453,4.65931109503539,7.69308512883658,7.81973432582598,"west"
"ad95",2009,"spp",1,1,5,"autoAssign","flw",683546.128537799,191907.495968513,2.42944682065571,3.3099935075209,3.36707047243122,3.89957286824548,4.57104644224453,4.93478523081367,7.87408531916776,"west"
"ad95",2010,"spp",1,1,1,"autoAssign","flw",683546.128537799,191907.495968513,2.42944682065571,3.3099935075209,4.57104644224453,4.65931109503539,7.53409014055205,7.87408531916776,10.1047691400543,"west"
